code_3,code_1,script,name,family,type,tok_code,proxy,auto_assigned,default_code_1,default_script
blk,,Mymr,Pa'o Karen,Sino-Tibetan,BurmeseTokenizer,,TRUE,TRUE,FALSE,TRUE
blt,,Latn,Tai Dam,Kra-Dai,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
blw,,Latn,Balangao,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
blz,,Latn,Balantak,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bmh,,Latn,Kein,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bmk,,Latn,Ghayavi,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bmq,,Latn,Bomu,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bmr,,Latn,Muinane,Witotoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bmu,,Latn,Somba-Siawari,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bmv,,Latn,Bum,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bnc,,Latn,Bontok,,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bnj,,Latn,Eastern Tawbuid,Austronesian,SpaCyTokenizer,tl,TRUE,TRUE,FALSE,TRUE
bno,,Latn,Bantoanon,Austronesian,SpaCyTokenizer,tl,TRUE,TRUE,FALSE,TRUE
bnp,,Latn,Bola,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
boa,,Latn,Bora,Witotoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bod,bo,Tibt,Tibetan,Sino-Tibetan,TibetanTokenizer,,FALSE,FALSE,TRUE,TRUE
boj,,Latn,Anjam,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bom,,Latn,Berom,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bon,,Latn,Bine,Eastern Trans-Fly,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bor,,Latn,Borôro,Bororoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bos,bs,Latn,Bosnian,Indo-European,SpaCyTokenizer,sr,FALSE,FALSE,TRUE,TRUE
bov,,Latn,Tuwuli,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
box,,Latn,Buamu,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bpr,,Latn,Koronadal Blaan,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bps,,Latn,Sarangani Blaan,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
